,ActorId,NameData,Org,ConflictId,DyadId,PrimaryParty,Alliance,NameAlliance,ActorIdAlliance,JoinGroup,GroupName,ActorIdGroup,Location,GWNOLoc,Region,name,centroidlong,centroidlat,coords
10,3,Government of United States of America,4,"11347, 13637, 13639, 13646, 13692, 13694, 14113, 14197, 14609, 15283, 230, 232, 235, 238, 242, 249, 259, 260, 262, 293, 300, 333, 337, 350, 368, 371, 372, 412, 416, 418, 420, 430","10589, 11199, 11985, 11986, 12380, 12391, 12571, 12575, 12578, 12582, 13891, 14320, 14668, 14745, 15077, 15108, 15174, 15259, 15593, 15633, 16210, 16562, 459, 462, 482, 485, 491, 505, 523, 524, 525, 527, 529, 535, 633, 644, 726, 735, 750, 774, 796, 799, 868, 878, 883",1,0,,,0,,,"North Korea, South Korea, China, Taiwan, United States of America, South Vietnam, Laos, Cuba, Vietnam (North Vietnam), Cambodia (Kampuchea), Lebanon, Afghanistan, Grenada, Panama, Iraq, Kuwait, Serbia (Yugoslavia), Somalia, Mali, Yemen (North Yemen), Central African Republic, Syria, Kenya, Libya, Niger, Iran, Israel",816,"3, 5, 2, 1, 4",Vietnam,106.30147370779942,16.65925745013897,"['106.30147370779942', '16.65925745013897']"
11,3,Government of United States of America,4,"11347, 13637, 13639, 13646, 13692, 13694, 14113, 14197, 14609, 15283, 230, 232, 235, 238, 242, 249, 259, 260, 262, 293, 300, 333, 337, 350, 368, 371, 372, 412, 416, 418, 420, 430","10589, 11199, 11985, 11986, 12380, 12391, 12571, 12575, 12578, 12582, 13891, 14320, 14668, 14745, 15077, 15108, 15174, 15259, 15593, 15633, 16210, 16562, 459, 462, 482, 485, 491, 505, 523, 524, 525, 527, 529, 535, 633, 644, 726, 735, 750, 774, 796, 799, 868, 878, 883",1,0,,,0,,,"North Korea, South Korea, China, Taiwan, United States of America, South Vietnam, Laos, Cuba, Vietnam (North Vietnam), Cambodia (Kampuchea), Lebanon, Afghanistan, Grenada, Panama, Iraq, Kuwait, Serbia (Yugoslavia), Somalia, Mali, Yemen (North Yemen), Central African Republic, Syria, Kenya, Libya, Niger, Iran, Israel",811,"3, 5, 2, 1, 4",Cambodia,104.92398196266187,12.716431793770925,"['104.92398196266187', '12.716431793770925']"
12,3,Government of United States of America,4,"11347, 13637, 13639, 13646, 13692, 13694, 14113, 14197, 14609, 15283, 230, 232, 235, 238, 242, 249, 259, 260, 262, 293, 300, 333, 337, 350, 368, 371, 372, 412, 416, 418, 420, 430","10589, 11199, 11985, 11986, 12380, 12391, 12571, 12575, 12578, 12582, 13891, 14320, 14668, 14745, 15077, 15108, 15174, 15259, 15593, 15633, 16210, 16562, 459, 462, 482, 485, 491, 505, 523, 524, 525, 527, 529, 535, 633, 644, 726, 735, 750, 774, 796, 799, 868, 878, 883",1,0,,,0,,,"North Korea, South Korea, China, Taiwan, United States of America, South Vietnam, Laos, Cuba, Vietnam (North Vietnam), Cambodia (Kampuchea), Lebanon, Afghanistan, Grenada, Panama, Iraq, Kuwait, Serbia (Yugoslavia), Somalia, Mali, Yemen (North Yemen), Central African Republic, Syria, Kenya, Libya, Niger, Iran, Israel",660,"3, 5, 2, 1, 4",Lebanon,35.88802656358622,33.920265847425604,"['35.88802656358622', '33.920265847425604']"
13,3,Government of United States of America,4,"11347, 13637, 13639, 13646, 13692, 13694, 14113, 14197, 14609, 15283, 230, 232, 235, 238, 242, 249, 259, 260, 262, 293, 300, 333, 337, 350, 368, 371, 372, 412, 416, 418, 420, 430","10589, 11199, 11985, 11986, 12380, 12391, 12571, 12575, 12578, 12582, 13891, 14320, 14668, 14745, 15077, 15108, 15174, 15259, 15593, 15633, 16210, 16562, 459, 462, 482, 485, 491, 505, 523, 524, 525, 527, 529, 535, 633, 644, 726, 735, 750, 774, 796, 799, 868, 878, 883",1,0,,,0,,,"North Korea, South Korea, China, Taiwan, United States of America, South Vietnam, Laos, Cuba, Vietnam (North Vietnam), Cambodia (Kampuchea), Lebanon, Afghanistan, Grenada, Panama, Iraq, Kuwait, Serbia (Yugoslavia), Somalia, Mali, Yemen (North Yemen), Central African Republic, Syria, Kenya, Libya, Niger, Iran, Israel",700,"3, 5, 2, 1, 4",Afghanistan,66.02647079,33.838805647835414,"['66.02647079', '33.838805647835414']"
14,3,Government of United States of America,4,"11347, 13637, 13639, 13646, 13692, 13694, 14113, 14197, 14609, 15283, 230, 232, 235, 238, 242, 249, 259, 260, 262, 293, 300, 333, 337, 350, 368, 371, 372, 412, 416, 418, 420, 430","10589, 11199, 11985, 11986, 12380, 12391, 12571, 12575, 12578, 12582, 13891, 14320, 14668, 14745, 15077, 15108, 15174, 15259, 15593, 15633, 16210, 16562, 459, 462, 482, 485, 491, 505, 523, 524, 525, 527, 529, 535, 633, 644, 726, 735, 750, 774, 796, 799, 868, 878, 883",1,0,,,0,,,"North Korea, South Korea, China, Taiwan, United States of America, South Vietnam, Laos, Cuba, Vietnam (North Vietnam), Cambodia (Kampuchea), Lebanon, Afghanistan, Grenada, Panama, Iraq, Kuwait, Serbia (Yugoslavia), Somalia, Mali, Yemen (North Yemen), Central African Republic, Syria, Kenya, Libya, Niger, Iran, Israel",55,"3, 5, 2, 1, 4",Grenada,-61.679379367887265,12.112926689756792,"['-61.679379367887265', '12.112926689756792']"
15,3,Government of United States of America,4,"11347, 13637, 13639, 13646, 13692, 13694, 14113, 14197, 14609, 15283, 230, 232, 235, 238, 242, 249, 259, 260, 262, 293, 300, 333, 337, 350, 368, 371, 372, 412, 416, 418, 420, 430","10589, 11199, 11985, 11986, 12380, 12391, 12571, 12575, 12578, 12582, 13891, 14320, 14668, 14745, 15077, 15108, 15174, 15259, 15593, 15633, 16210, 16562, 459, 462, 482, 485, 491, 505, 523, 524, 525, 527, 529, 535, 633, 644, 726, 735, 750, 774, 796, 799, 868, 878, 883",1,0,,,0,,,"North Korea, South Korea, China, Taiwan, United States of America, South Vietnam, Laos, Cuba, Vietnam (North Vietnam), Cambodia (Kampuchea), Lebanon, Afghanistan, Grenada, Panama, Iraq, Kuwait, Serbia (Yugoslavia), Somalia, Mali, Yemen (North Yemen), Central African Republic, Syria, Kenya, Libya, Niger, Iran, Israel",95,"3, 5, 2, 1, 4",Panama,-80.10266267010438,8.507187222348685,"['-80.10266267010438', '8.507187222348685']"
16,3,Government of United States of America,4,"11347, 13637, 13639, 13646, 13692, 13694, 14113, 14197, 14609, 15283, 230, 232, 235, 238, 242, 249, 259, 260, 262, 293, 300, 333, 337, 350, 368, 371, 372, 412, 416, 418, 420, 430","10589, 11199, 11985, 11986, 12380, 12391, 12571, 12575, 12578, 12582, 13891, 14320, 14668, 14745, 15077, 15108, 15174, 15259, 15593, 15633, 16210, 16562, 459, 462, 482, 485, 491, 505, 523, 524, 525, 527, 529, 535, 633, 644, 726, 735, 750, 774, 796, 799, 868, 878, 883",1,0,,,0,,,"North Korea, South Korea, China, Taiwan, United States of America, South Vietnam, Laos, Cuba, Vietnam (North Vietnam), Cambodia (Kampuchea), Lebanon, Afghanistan, Grenada, Panama, Iraq, Kuwait, Serbia (Yugoslavia), Somalia, Mali, Yemen (North Yemen), Central African Republic, Syria, Kenya, Libya, Niger, Iran, Israel",645,"3, 5, 2, 1, 4",Iraq,43.77213474483021,33.048025207374224,"['43.77213474483021', '33.048025207374224']"
17,3,Government of United States of America,4,"11347, 13637, 13639, 13646, 13692, 13694, 14113, 14197, 14609, 15283, 230, 232, 235, 238, 242, 249, 259, 260, 262, 293, 300, 333, 337, 350, 368, 371, 372, 412, 416, 418, 420, 430","10589, 11199, 11985, 11986, 12380, 12391, 12571, 12575, 12578, 12582, 13891, 14320, 14668, 14745, 15077, 15108, 15174, 15259, 15593, 15633, 16210, 16562, 459, 462, 482, 485, 491, 505, 523, 524, 525, 527, 529, 535, 633, 644, 726, 735, 750, 774, 796, 799, 868, 878, 883",1,0,,,0,,,"North Korea, South Korea, China, Taiwan, United States of America, South Vietnam, Laos, Cuba, Vietnam (North Vietnam), Cambodia (Kampuchea), Lebanon, Afghanistan, Grenada, Panama, Iraq, Kuwait, Serbia (Yugoslavia), Somalia, Mali, Yemen (North Yemen), Central African Republic, Syria, Kenya, Libya, Niger, Iran, Israel",690,"3, 5, 2, 1, 4",Kuwait,47.59087774543286,29.340792357895488,"['47.59087774543286', '29.340792357895488']"
18,3,Government of United States of America,4,"11347, 13637, 13639, 13646, 13692, 13694, 14113, 14197, 14609, 15283, 230, 232, 235, 238, 242, 249, 259, 260, 262, 293, 300, 333, 337, 350, 368, 371, 372, 412, 416, 418, 420, 430","10589, 11199, 11985, 11986, 12380, 12391, 12571, 12575, 12578, 12582, 13891, 14320, 14668, 14745, 15077, 15108, 15174, 15259, 15593, 15633, 16210, 16562, 459, 462, 482, 485, 491, 505, 523, 524, 525, 527, 529, 535, 633, 644, 726, 735, 750, 774, 796, 799, 868, 878, 883",1,0,,,0,,,"North Korea, South Korea, China, Taiwan, United States of America, South Vietnam, Laos, Cuba, Vietnam (North Vietnam), Cambodia (Kampuchea), Lebanon, Afghanistan, Grenada, Panama, Iraq, Kuwait, Serbia (Yugoslavia), Somalia, Mali, Yemen (North Yemen), Central African Republic, Syria, Kenya, Libya, Niger, Iran, Israel",345,"3, 5, 2, 1, 4",Yugoslavia,18.728074843601753,44.16067325765515,"['18.728074843601753', '44.16067325765515']"
19,3,Government of United States of America,4,"11347, 13637, 13639, 13646, 13692, 13694, 14113, 14197, 14609, 15283, 230, 232, 235, 238, 242, 249, 259, 260, 262, 293, 300, 333, 337, 350, 368, 371, 372, 412, 416, 418, 420, 430","10589, 11199, 11985, 11986, 12380, 12391, 12571, 12575, 12578, 12582, 13891, 14320, 14668, 14745, 15077, 15108, 15174, 15259, 15593, 15633, 16210, 16562, 459, 462, 482, 485, 491, 505, 523, 524, 525, 527, 529, 535, 633, 644, 726, 735, 750, 774, 796, 799, 868, 878, 883",1,0,,,0,,,"North Korea, South Korea, China, Taiwan, United States of America, South Vietnam, Laos, Cuba, Vietnam (North Vietnam), Cambodia (Kampuchea), Lebanon, Afghanistan, Grenada, Panama, Iraq, Kuwait, Serbia (Yugoslavia), Somalia, Mali, Yemen (North Yemen), Central African Republic, Syria, Kenya, Libya, Niger, Iran, Israel",345,"3, 5, 2, 1, 4",Serbia and Montenegro,20.599031351017253,43.86704501123706,"['20.599031351017253', '43.86704501123706']"
